x,y,z,vx,vy,vz,rho,press,tipo,mass
5.80081506 , 33.45885518 , 0.00000000 , -0.18840949 , 0.32822685 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.00963295 , 32.30661930 , 0.00000000 , 0.97583303 , 0.99088152 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.37993551 , 33.56102775 , 0.00000000 , 0.18881255 , -0.39452295 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.79762556 , 34.53521879 , 0.00000000 , 0.24820360 , 0.76269871 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.91898427 , 34.64745518 , 0.00000000 , -0.26572221 , 0.60757405 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.75343845 , 34.45491275 , 0.00000000 , -0.71199130 , -0.85988193 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.92789239 , 35.57382218 , 0.00000000 , -0.02261125 , 1.10047263 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.83672967 , 35.62015206 , 0.00000000 , -0.47674217 , 0.15217965 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.43068299 , 37.30896744 , 0.00000000 , 0.37316986 , -0.15692362 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.57181311 , 36.61115547 , 0.00000000 , 0.21915221 , -0.38165850 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.80312932 , 37.96213914 , 0.00000000 , -1.20742796 , -0.04552984 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.95384515 , 37.48047144 , 0.00000000 , 0.90493240 , 0.23872802 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.85222137 , 38.90920905 , 0.00000000 , 0.65112787 , -0.24025561 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.88767187 , 38.59531173 , 0.00000000 , -0.12689940 , -0.62900927 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.37598685 , 39.72164705 , 0.00000000 , 0.48506893 , -0.41820500 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.02318484 , 39.80721067 , 0.00000000 , 0.37857455 , -0.42661748 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.67091091 , 41.08155732 , 0.00000000 , -0.01036803 , -0.52657583 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.08195924 , 41.71616739 , 0.00000000 , -0.01085909 , -0.58473567 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.98795917 , 42.08171519 , 0.00000000 , -0.10640037 , 1.25056474 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.90114986 , 42.74961771 , 0.00000000 , 0.15609103 , 0.68239028 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.97215914 , 43.01642693 , 0.00000000 , 0.83371005 , -0.94902898 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.99561199 , 43.77809253 , 0.00000000 , -0.20936514 , 0.30980722 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.94697389 , 44.01698495 , 0.00000000 , 0.30620216 , -0.03195401 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.18162482 , 44.64602457 , 0.00000000 , -0.32860325 , 0.70779813 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.20992065 , 45.11596668 , 0.00000000 , -0.35606801 , 0.90335761 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.92964860 , 46.51042723 , 0.00000000 , -0.42897190 , -0.91262721 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
8.70584248 , 48.74458524 , 0.00000000 , -0.81209263 , 0.14843614 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.52403263 , 48.39393708 , 0.00000000 , 0.03754231 , -0.09851514 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
